,x,y,z
,-0.4564239396,0.04357606039,0
,-0.4477375726,0.05226242741,0
,-0.4390671252,0.06093287477,0
,-0.4304152386,0.06958476138,0
,-0.4217845482,0.07821545177,0
,-0.413177683,0.08682231696,0
,-0.4045972648,0.09540273521,0
,-0.3960459072,0.1039540928,0
,-0.387526215,0.112473785,0
,-0.3790407834,0.1209592166,0
,-0.3705921973,0.1294078027,0
,-0.36218303,0.13781697,0
,-0.3538158432,0.1461841568,0
,-0.3454931855,0.1545068145,0
,-0.3372175921,0.1627824079,0
,-0.3289915839,0.1710084161,0
,-0.3208176665,0.1791823335,0
,-0.3126983299,0.1873016701,0
,-0.3046360472,0.1953639528,0
,-0.2966332743,0.2033667257,0
,-0.2886924489,0.2113075511,0
,-0.2808159899,0.2191840101,0
,-0.2730062966,0.2269937034,0
,-0.2652657478,0.2347342522,0
,-0.2575967013,0.2424032987,0
,-0.2500014934,0.2499985066,0
,-0.2424824374,0.2575175626,0
,-0.2350418239,0.2649581761,0
,-0.2276819193,0.2723180807,0
,-0.2204049655,0.2795950345,0
,-0.2132131791,0.2867868209,0
,-0.2061087508,0.2938912492,0
,-0.1990938447,0.3009061553,0
,-0.1921705976,0.3078294024,0
,-0.1853411184,0.3146588816,0
,-0.1786074875,0.3213925125,0
,-0.1719717559,0.3280282441,0
,-0.165435945,0.334564055,0
,-0.1590020456,0.3409979544,0
,-0.1526720175,0.3473279825,0
,-0.1464477891,0.3535522109,0
,-0.1403312561,0.3596687439,0
,-0.1343242819,0.3656757181,0
,-0.1284286961,0.3715713039,0
,-0.1226462946,0.3773537054,0
,-0.1169788388,0.3830211612,0
,-0.111428055,0.388571945,0
,-0.1059956342,0.3940043658,0
,-0.100683231,0.399316769,0
,-0.09549246363,0.4045075364,0
,-0.0904249133,0.4095750867,0
,-0.08548212362,0.4145178764,0
,-0.08066560021,0.4193343998,0
,-0.07597681022,0.4240231898,0
,-0.07141718192,0.4285828181,0
,-0.06698810421,0.4330118958,0
,-0.06269092623,0.4373090738,0
,-0.05852695694,0.4414730431,0
,-0.05449746474,0.4455025353,0
,-0.05060367704,0.449396323,0
,-0.04684677993,0.4531532201,0
,-0.04322791779,0.4567720822,0
,-0.03974819298,0.460251807,0
,-0.03640866545,0.4635913345,0
,-0.03321035245,0.4667896475,0
,-0.03015422822,0.4698457718,0
,-0.02724122369,0.4727587763,0
,-0.02447222618,0.4755277738,0
,-0.02184807917,0.4781519208,0
,-0.01936958198,0.480630418,0
,-0.01703748961,0.4829625104,0
,-0.01485251241,0.4851474876,0
,-0.01281531597,0.487184684,0
,-0.01092652083,0.4890734792,0
,-0.009186702342,0.4908132977,0
,-0.007596390463,0.4924036095,0
,-0.006156069622,0.4938439304,0
,-0.004866178555,0.4951338214,0
,-0.003727110176,0.4962728898,0
,-0.002739211456,0.4972607885,0
,-0.00190278332,0.4980972167,0
,-0.001218080551,0.4987819194,0
,-0.0006853117161,0.4993146883,0
,-0.000304639103,0.4996953609,0
,-7.617866795E-05,0.4999238213,0
,0,0.5,0
,0.008727870102,0.4999238185,0
,0.01745141821,0.4996953552,0
,0.02616965044,0.4993146797,0
,0.03487991114,0.4987819081,0
,0.04357954707,0.4980972024,0
,0.05226590824,0.4972607715,0
,0.06093634869,0.4962728699,0
,0.06958822732,0.4951337987,0
,0.07821890868,0.4938439048,0
,0.08682576379,0.4924035812,0
,0.09540617091,0.4908132665,0
,0.1039575164,0.4890734452,0
,0.1124771953,0.4871846473,0
,0.1209626126,0.4851474481,0
,0.1294111835,0.4829624681,0
,0.1378203344,0.480630373,0
,0.1461875039,0.4781518731,0
,0.1545101432,0.4755277233,0
,0.1627857172,0.4727587231,0
,0.171011705,0.4698457159,0
,0.179185601,0.466789589,0
,0.1873049153,0.4635912733,0
,0.1953671746,0.4602517432,0
,0.2033699231,0.4567720157,0
,0.2113107232,0.453153151,0
,0.2191871558,0.4493962513,0
,0.2269968219,0.4455024611,0
,0.2347373425,0.4414729663,0
,0.2424063598,0.4373089946,0
,0.2500015377,0.4330118141,0
,0.2575205626,0.4285827339,0
,0.2649611443,0.4240231032,0
,0.2723210161,0.4193343108,0
,0.2795979362,0.414517785,0
,0.286789688,0.409574993,0
,0.2938940808,0.4045074403,0
,0.3009089505,0.3993166707,0
,0.3078321604,0.3940042652,0
,0.3146616016,0.3885718421,0
,0.3213951937,0.3830210562,0
,0.3280308856,0.3773535982,0
,0.3345666561,0.3715711946,0
,0.3410005142,0.3656756067,0
,0.3473305002,0.3596686304,0
,0.3535546858,0.3535520954,0
,0.3596711752,0.3473278649,0
,0.3656781051,0.3409978349,0
,0.3715736459,0.3345639336,0
,0.3773560016,0.3280281208,0
,0.383023411,0.3213923874,0
,0.3885741476,0.3146587546,0
,0.3940065206,0.3078292736,0
,0.3993188754,0.3009060248,0
,0.4045095936,0.293891117,0
,0.4095770942,0.2867866871,0
,0.4145198336,0.2795948991,0
,0.419336306,0.2723179437,0
,0.4240250445,0.2649580375,0
,0.4285846207,0.2575174225,0
,0.4330136458,0.2499983651,0
,0.4373107706,0.2424031557,0
,0.4414746862,0.234734108,0
,0.4455041242,0.2269935578,0
,0.4493978573,0.2191838632,0
,0.4531546992,0.211307403,0
,0.4567735058,0.2033665764,0
,0.4602531746,0.1953638024,0
,0.4635926457,0.1873015186,0
,0.4667909018,0.1791821809,0
,0.4698469688,0.1710082626,0
,0.4727599158,0.1627822534,0
,0.4755288554,0.1545066591,0
,0.4781529441,0.1461840006,0
,0.4806313827,0.1378168129,0
,0.4829634163,0.1294076449,0
,0.4851483343,0.120959058,0
,0.4871854714,0.1124736258,0
,0.4890742069,0.103953933,0
,0.4908139655,0.09540257482,0
,0.4924042173,0.08682215605,0
,0.4938444779,0.07821529039,0
,0.4951343085,0.06958459957,0
,0.4962733164,0.06093271259,0
,0.4972611544,0.05226226491,0
,0.4980975217,0.04357589761,0
